Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,A6 3650 APU,818,47.7,2602,https://cpu.userbenchmark.com/SpeedTest/1954/AMD A6 3650 APU with Radeontm HD Graphics
CPU,,Intel,i3 550,819,47.6,17135,https://cpu.userbenchmark.com/SpeedTest/632/IntelR CoreTM i3 CPU         550    320GHz
CPU,,Intel,Q9300,820,47.6,9885,https://cpu.userbenchmark.com/SpeedTest/832/IntelR CoreTM2  CPU   Q9300    250GHz
CPU,,AMD,Phenom II X2 550,821,47.5,3626,https://cpu.userbenchmark.com/SpeedTest/2418/AMD Phenomtm II X2 550 Processor
CPU,AD9700AGABBOX,AMD,A10 9700 APU (2016 M.BR),822,47.5,10221,https://cpu.userbenchmark.com/SpeedTest/262171/AMD A10 9700 RADEON R7 10 COMPUTE CORES 4C 6G
CPU,,AMD,Athlon II X2 265,823,47.5,639,https://cpu.userbenchmark.com/SpeedTest/986/AMD Athlontm II X2 265 Processor
CPU,,Intel,G540,824,47.5,1500,https://cpu.userbenchmark.com/SpeedTest/5981/IntelR CeleronR CPU G540   250GHz
CPU,AM973PAEY44AB,AMD,A12 9730P APU (2016 M.BR),825,47.4,321,https://cpu.userbenchmark.com/SpeedTest/236011/AMD A12 9730P RADEON R7 10 COMPUTE CORES 4C 6G
CPU,,AMD,Athlon II X4 620,826,47.4,5486,https://cpu.userbenchmark.com/SpeedTest/3430/AMD Athlontm II X4 620 Processor
CPU,,AMD,Phenom 9750,827,47.3,1836,https://cpu.userbenchmark.com/SpeedTest/2439/AMD Phenomtm 9750 Processor
CPU,,Intel,i3 540,828,47,23269,https://cpu.userbenchmark.com/SpeedTest/2936/IntelR CoreTM i3 CPU         540    307GHz
CPU,,Intel,E5 2660 v2,829,47,23,https://cpu.userbenchmark.com/SpeedTest/13068/IntelR XeonR CPU E5 2660 v2   220GHz
CPU,,AMD,Athlon II X3 450,830,47,4208,https://cpu.userbenchmark.com/SpeedTest/91/AMD Athlontm II X3 450 Processor
CPU,,Intel,i5 8210Y,831,46.9,322,https://cpu.userbenchmark.com/SpeedTest/651922/IntelR CoreTM i5 8210Y CPU   160GHz
CPU,,Intel,i5 7Y54,832,46.8,1381,https://cpu.userbenchmark.com/SpeedTest/193628/IntelR CoreTM i5 7Y54 CPU   120GHz
CPU,,Intel,m3 7Y32,833,46.8,50,https://cpu.userbenchmark.com/SpeedTest/513740/IntelR CoreTM m3 7Y32 CPU   110GHz
CPU,,Intel,i3 3227U,834,46.8,6513,https://cpu.userbenchmark.com/SpeedTest/5042/IntelR CoreTM i3 3227U CPU   190GHz
CPU,,AMD,Phenom II X2 545,835,46.7,1043,https://cpu.userbenchmark.com/SpeedTest/8398/AMD Phenomtm II X2 545 Processor
CPU,,Intel,G530,836,46.7,3527,https://cpu.userbenchmark.com/SpeedTest/229/IntelR CeleronR CPU G530   240GHz
CPU,,Intel,B980,837,46.7,3587,https://cpu.userbenchmark.com/SpeedTest/6036/IntelR PentiumR CPU B980   240GHz
CPU,,Intel,X3220,838,46.6,724,https://cpu.userbenchmark.com/SpeedTest/4801/IntelR XeonR CPU           X3220    240GHz
CPU,,AMD,A8 3800 APU,839,46.5,1426,https://cpu.userbenchmark.com/SpeedTest/7059/AMD A8 3800 APU with Radeontm HD Graphics
CPU,,Intel,m3 7Y30,840,46.4,4113,https://cpu.userbenchmark.com/SpeedTest/196956/IntelR CoreTM m3 7Y30 CPU   100GHz
CPU,,AMD,Athlon II X3 445,841,46.4,2717,https://cpu.userbenchmark.com/SpeedTest/1775/AMD Athlontm II X3 445 Processor
CPU,,AMD,Ryzen 3 2200U,842,46.3,15293,https://cpu.userbenchmark.com/SpeedTest/480281/AMD Ryzen 3 2200U with Radeon Vega Mobile Gfx
CPU,,Intel,i3 4010U,843,46.2,11514,https://cpu.userbenchmark.com/SpeedTest/4821/IntelR CoreTM i3 4010U CPU   170GHz
CPU,,Intel,Q8300,844,46.2,18421,https://cpu.userbenchmark.com/SpeedTest/1930/IntelR CoreTM2 CPU    Q8300    250GHz
